application,user_group,active_issue_count,avg_triage_score,sla_breach_rate,vendor_blocked_share,avg_customer_effort,review_required_rate
Public Finance CRM,Financial Advisors,28,65.793,0.464,0.429,4.536,0.357
Public Finance CRM,Operations,41,62.472,0.415,0.195,4.576,0.293
Public Finance CRM,Sales Support,28,61.345,0.286,0.214,4.929,0.321
Client Reporting,Operations,38,60.815,0.421,0.158,4.516,0.237
Trade Support,Public Finance,31,59.774,0.484,0.161,4.99,0.323
Public Finance CRM,Public Finance,31,59.174,0.387,0.387,4.045,0.129
Client Reporting,Public Finance,31,59.163,0.387,0.161,4.726,0.29
Compliance Workflow,Financial Advisors,44,59.144,0.364,0.136,4.827,0.273
Client Reporting,Financial Advisors,39,58.891,0.462,0.282,4.372,0.179
Client Reporting,Compliance,30,58.816,0.433,0.167,4.48,0.2
Advisor Portal,Public Finance,37,58.519,0.432,0.189,4.597,0.432
Compliance Workflow,Operations,35,58.402,0.343,0.286,4.086,0.286
Data Entitlements,Financial Advisors,23,57.856,0.435,0.13,4.426,0.261
Client Reporting,Sales Support,33,57.377,0.424,0.091,4.027,0.152
Advisor Portal,Operations,23,57.315,0.304,0.304,4.248,0.174
Data Entitlements,Compliance,32,57.284,0.375,0.219,4.731,0.25
Data Entitlements,Public Finance,27,57.189,0.444,0.222,4.052,0.185
Trade Support,Operations,32,56.58,0.281,0.219,4.606,0.281
Advisor Portal,Financial Advisors,34,56.25,0.294,0.147,4.821,0.294
Trade Support,Financial Advisors,24,56.203,0.375,0.333,4.163,0.167
Trade Support,Compliance,28,55.792,0.321,0.25,4.439,0.214
Advisor Portal,Compliance,38,55.31,0.342,0.289,4.216,0.211
Data Entitlements,Sales Support,32,54.874,0.344,0.188,4.453,0.375
Trade Support,Sales Support,18,54.63,0.222,0.222,4.467,0.167
Compliance Workflow,Public Finance,28,54.599,0.429,0.179,3.821,0.25
Compliance Workflow,Compliance,36,54.498,0.333,0.25,4.283,0.194
Compliance Workflow,Sales Support,30,54.144,0.267,0.233,4.37,0.233
Public Finance CRM,Compliance,29,53.77,0.379,0.103,4.241,0.276
Advisor Portal,Sales Support,30,53.552,0.267,0.267,3.993,0.233
Data Entitlements,Operations,29,51.241,0.241,0.034,4.593,0.241
